Ctry,Year,SR,Lat,Lon,PType,PNum,Catch
DE,1998,47E3,59.25,-6.5,M,7,28.934
DE,1998,47E4,59.25,-5.5,M,7,12.421
DE,1998,48E4,59.75,-5.5,M,7,8.073
DE,1998,49E7,60.25,-2.5,M,7,1.896
DE,1998,50E7,60.75,-2.5,M,7,3.993
DE,1998,34F2,52.75,2.5,M,8,0.242
DE,1998,34F3,52.75,3.5,M,8,0.409
DE,1998,35F4,53.25,4.5,M,8,0.231
DE,1998,36D8,53.75,-11.5,M,8,21.582
DE,1998,36F1,53.75,1.5,M,8,0.059
DE,1998,36F2,53.75,2.5,M,8,0.156
DE,1998,36F3,53.75,3.5,M,8,0.028
DE,1998,36F4,53.75,4.5,M,8,0.004
DE,1998,36F5,53.75,5.5,M,8,0.006
DE,1998,36F6,53.75,6.5,M,8,0.415
DE,1998,36F7,53.75,7.5,M,8,0.007
DE,1998,36F8,53.75,8.5,M,8,0.037
DE,1998,37F2,54.25,2.5,M,8,0.081
DE,1998,37F3,54.25,3.5,M,8,0.119
DE,1998,37F4,54.25,4.5,M,8,0.119
DE,1998,37F7,54.25,7.5,M,8,0.306
DE,1998,38F1,54.75,1.5,M,8,0.342
DE,1998,38F4,54.75,4.5,M,8,1.393
DE,1998,38F6,54.75,6.5,M,8,0.052
DE,1998,38F7,54.75,7.5,M,8,0.093
DE,1998,39F4,55.25,4.5,M,8,0.159
DE,1998,39F5,55.25,5.5,M,8,0.2
DE,1998,39F6,55.25,6.5,M,8,0.422
DE,1998,39F7,55.25,7.5,M,8,0.044
DE,1998,40F0,55.75,0.5,M,8,3.436
DE,1998,40F7,55.75,7.5,M,8,0.96
DE,1998,41F6,56.25,6.5,M,8,0.055
DE,1998,41F7,56.25,7.5,M,8,0.013
DE,1998,42F6,56.75,6.5,M,8,0.035
DE,1998,42F7,56.75,7.5,M,8,0.064
DE,1998,43E9,57.25,-0.5,M,8,7.455
DE,1998,43F7,57.25,7.5,M,8,0.002
DE,1998,44E0,57.75,-9.5,M,8,1.199
DE,1998,44G0,57.75,10.5,M,8,0.007
DE,1998,46E2,58.75,-7.5,M,8,1.199
DE,1998,47E4,59.25,-5.5,M,8,19.56
DE,1998,48E5,59.75,-4.5,M,8,3.927
DE,1998,25E4,48.25,-5.5,M,9,7.003
DE,1998,26E2,48.75,-7.5,M,9,1.522
DE,1998,26E4,48.75,-5.5,M,9,9.494
DE,1998,27E4,49.25,-5.5,M,9,71.482
DE,1998,27E5,49.25,-4.5,M,9,64.216
DE,1998,27E6,49.25,-3.5,M,9,20.01
DE,1998,28E5,49.75,-4.5,M,9,11.884
DE,1998,31F2,51.25,2.5,M,9,16.18
DE,1998,33F2,52.25,2.5,M,9,128.065
DE,1998,33F3,52.25,3.5,M,9,0.001
DE,1998,34F2,52.75,2.5,M,9,2.259
DE,1998,34F3,52.75,3.5,M,9,0.368
DE,1998,36F2,53.75,2.5,M,9,0.966
DE,1998,36F4,53.75,4.5,M,9,0.002
DE,1998,36F6,53.75,6.5,M,9,1.126
DE,1998,37F2,54.25,2.5,M,9,0.148
DE,1998,37F7,54.25,7.5,M,9,0.19
DE,1998,37F8,54.25,8.5,M,9,0.054
DE,1998,37G1,54.25,11.5,M,9,0.03
DE,1998,37G4,54.25,14.5,M,9,0.01
DE,1998,38F1,54.75,1.5,M,9,0.268
DE,1998,38F3,54.75,3.5,M,9,0.031
DE,1998,38F4,54.75,4.5,M,9,0.256
DE,1998,38F6,54.75,6.5,M,9,0.082
DE,1998,38F7,54.75,7.5,M,9,0.721
DE,1998,38G3,54.75,13.5,M,9,0.005
DE,1998,39F4,55.25,4.5,M,9,0.004
DE,1998,39F6,55.25,6.5,M,9,0.038
DE,1998,39F7,55.25,7.5,M,9,0.006
DE,1998,42F6,56.75,6.5,M,9,0.134
DE,1998,42F7,56.75,7.5,M,9,0.376
DE,1998,43E8,57.25,-1.5,M,9,1.6
DE,1998,43F6,57.25,6.5,M,9,0.295
DE,1998,43F7,57.25,7.5,M,9,0.208
DE,1998,43G1,57.25,11.5,M,9,0.003
DE,1998,49F1,60.25,1.5,M,9,0.022
DE,1998,50F2,60.75,2.5,M,9,0.062
DE,1998,51F1,61.25,1.5,M,9,0.001
DE,1998,52F0,61.75,0.5,M,9,0.006
DE,1998,52F1,61.75,1.5,M,9,0.387
DE,1998,27E4,49.25,-5.5,M,10,10.893
DE,1998,29E8,50.25,-1.5,M,10,35.932
DE,1998,29E9,50.25,-0.5,M,10,61.706
DE,1998,31F2,51.25,2.5,M,10,35.415
DE,1998,32F1,51.75,1.5,M,10,20.708
DE,1998,32F2,51.75,2.5,M,10,34.664
DE,1998,32F3,51.75,3.5,M,10,0.705
DE,1998,33F2,52.25,2.5,M,10,69.439
DE,1998,33F3,52.25,3.5,M,10,41.367
DE,1998,33F4,52.25,4.5,M,10,0.892
DE,1998,34F4,52.75,4.5,M,10,0.219
DE,1998,35F4,53.25,4.5,M,10,0.018
DE,1998,36F2,53.75,2.5,M,10,0.009
DE,1998,36F4,53.75,4.5,M,10,0.049
DE,1998,36F6,53.75,6.5,M,10,0.195
DE,1998,36F7,53.75,7.5,M,10,0.013
DE,1998,37F7,54.25,7.5,M,10,0.384
DE,1998,38F1,54.75,1.5,M,10,0.006
DE,1998,38F6,54.75,6.5,M,10,0.02
DE,1998,38F7,54.75,7.5,M,10,0.292
DE,1998,38G3,54.75,13.5,M,10,0.006
DE,1998,39F6,55.25,6.5,M,10,0.051
DE,1998,40F4,55.75,4.5,M,10,0.006
DE,1998,41F6,56.25,6.5,M,10,0.003
DE,1998,42F5,56.75,5.5,M,10,0.011
DE,1998,42F6,56.75,6.5,M,10,0.043
DE,1998,42F7,56.75,7.5,M,10,0.415
DE,1998,42F8,56.75,8.5,M,10,0.139
DE,1998,44F2,57.75,2.5,M,10,0.021
DE,1998,44F6,57.75,6.5,M,10,0.005
DE,1998,45F4,58.25,4.5,M,10,0.062
DE,1998,50F1,60.75,1.5,M,10,0.013
DE,1998,24E2,47.75,-7.5,M,11,200.138
DE,1998,24E3,47.75,-6.5,M,11,1022.079
DE,1998,25E2,48.25,-7.5,M,11,25.34
DE,1998,27E4,49.25,-5.5,M,11,82.832
DE,1998,29E7,50.25,-2.5,M,11,31.025
DE,1998,29E9,50.25,-0.5,M,11,17.581
DE,1998,32F2,51.75,2.5,M,11,46.538
DE,1998,34F4,52.75,4.5,M,11,0.048
DE,1998,35F4,53.25,4.5,M,11,0.005
DE,1998,42F7,56.75,7.5,M,11,0.01
DE,1998,43F7,57.25,7.5,M,11,0.016
DE,1998,44F5,57.75,5.5,M,11,0.032
DE,1998,44F6,57.75,6.5,M,11,0.261
DE,1998,45F4,58.25,4.5,M,11,0.039
DE,1998,45F5,58.25,5.5,M,11,0.04
DE,1998,46F3,58.75,3.5,M,11,0.027
DE,1998,51F1,61.25,1.5,M,11,0.294
DE,1998,24E3,47.75,-6.5,M,12,227.499
DE,1998,24E4,47.75,-5.5,M,12,70.74
DE,1998,43F5,57.25,5.5,M,12,0.017
DE,1998,43F6,57.25,6.5,M,12,0.016
DE,1998,44F6,57.75,6.5,M,12,0.021
DK,1998,38G0,54.75,10.5,M,1,0.001
DK,1998,39G1,55.25,11.5,M,1,0.001
DK,1998,39G2,55.25,12.5,M,1,0.002
DK,1998,40G0,55.75,10.5,M,1,0.001
DK,1998,40G2,55.75,12.5,M,1,0.01
DK,1998,41G0,56.25,10.5,M,1,0.001
DK,1998,41G1,56.25,11.5,M,1,0.103
DK,1998,41G2,56.25,12.5,M,1,0.011
DK,1998,42G1,56.75,11.5,M,1,0.015
DK,1998,43F7,57.25,7.5,M,1,25.133
DK,1998,43G0,57.25,10.5,M,1,0.03
DK,1998,43G1,57.25,11.5,M,1,0.702
DK,1998,44F7,57.75,7.5,M,1,0.001
DK,1998,44F8,57.75,8.5,M,1,441.318
DK,1998,44F9,57.75,9.5,M,1,239.353
DK,1998,44G0,57.75,10.5,M,1,159.919
DK,1998,44G1,57.75,11.5,M,1,0.031
DK,1998,45G0,58.25,10.5,M,1,0.002
DK,1998,46E9,58.75,-0.5,M,1,0.248
DK,1998,48F3,59.75,3.5,M,1,110.985
DK,1998,49F2,60.25,2.5,M,1,2.4
DK,1998,49F3,60.25,3.5,M,1,102.976
DK,1998,50E5,60.75,-4.5,M,1,316.075
DK,1998,50F2,60.75,2.5,M,1,61.838
DK,1998,50F3,60.75,3.5,M,1,80.453
DK,1998,51E5,61.25,-4.5,M,1,382.683
DK,1998,51F2,61.25,2.5,M,1,37.79
